prot_organism_1	prot_organism_2	bit-score
NP_011511.3	NP_065959.1	31.2
NP_014128.2	NP_000375.2	40.0
NP_009757.1	NP_065959.1	75.1
NP_009757.1	NP_065959.1	62.0
NP_009757.1	NP_065959.1	49.7
NP_009757.1	NP_065959.1	38.9
NP_009757.1	NP_065959.1	38.5
NP_009757.1	NP_059830.1	70.9
NP_009757.1	NP_059830.1	50.4
NP_009757.1	NP_059830.1	41.6
NP_009757.1	NP_059830.1	40.0
NP_009757.1	NP_059830.1	39.7
NP_009757.1	NP_059830.1	36.6
NP_009757.1	XP_011526902.1	61.6
NP_009757.1	XP_011526902.1	55.5
NP_009757.1	XP_011526902.1	42.4
NP_009757.1	XP_016871952.1	42.0
NP_009757.1	XP_016871952.1	41.6
NP_009757.1	XP_016871952.1	35.8
NP_009757.1	XP_016867294.1	41.6
NP_010138.1	NP_006576.2	187.0
NP_010138.1	NP_078961.3	60.8
NP_011748.3	NP_062618.2	50.4
NP_011748.3	NP_062618.2	48.9
NP_011748.3	NP_062618.2	43.1
NP_011748.3	NP_060134.2	48.5
NP_011748.3	NP_060134.2	46.6
NP_011748.3	NP_001131143.1	47.0
NP_011748.3	NP_001131143.1	40.4
NP_011748.3	NP_001131143.1	34.3
NP_011748.3	NP_001131143.1	31.6
NP_011748.3	NP_001131143.1	29.6
NP_011748.3	NP_115736.1	42.0
NP_011748.3	NP_115736.1	33.5
NP_011748.3	NP_077000.1	40.8
NP_011748.3	NP_055730.2	40.8
NP_011748.3	NP_055730.2	37.7
NP_011748.3	XP_016881667.1	40.4
NP_011748.3	XP_016881667.1	39.7
NP_011748.3	NP_075392.2	34.7
NP_011748.3	NP_075392.2	30.0
NP_015491.1	XP_016863678.1	140.0
NP_015491.1	XP_016868740.1	115.0
NP_015491.1	NP_004209.2	70.1
NP_015491.1	NP_006825.1	54.7
NP_015491.1	NP_775798.2	47.0
NP_015491.1	NP_808218.1	29.3
NP_012956.3	NP_002654.3	412.0
NP_014106.1	NP_056342.3	127.0
NP_014106.1	XP_016870058.1	97.1
NP_014106.1	NP_777576.1	32.7
NP_014371.1	NP_003442.2	75.5
NP_014371.1	NP_003442.2	67.4
NP_014371.1	NP_003442.2	66.2
NP_014371.1	NP_003442.2	63.5
NP_014371.1	NP_003442.2	55.1
NP_014371.1	NP_003442.2	51.6
NP_014371.1	XP_016873757.1	77.0
NP_014371.1	XP_016873757.1	67.8
NP_014371.1	XP_016873757.1	60.1
NP_014371.1	XP_016873757.1	58.9
NP_014371.1	XP_016873757.1	58.5
NP_014371.1	XP_016873757.1	35.0
NP_014371.1	XP_011512871.1	75.5
NP_014371.1	XP_011512871.1	70.1
NP_014371.1	XP_011512871.1	67.0
NP_014371.1	XP_011512871.1	66.6
NP_014371.1	XP_011512871.1	60.8
NP_014371.1	XP_011512871.1	59.3
NP_014371.1	XP_011512871.1	58.2
NP_014371.1	NP_068735.1	73.6
NP_014371.1	NP_068735.1	72.8
NP_014371.1	NP_068735.1	68.9
NP_014371.1	NP_068735.1	64.7
NP_014371.1	NP_068735.1	63.9
NP_014371.1	NP_068735.1	62.8
NP_014371.1	NP_068735.1	60.5
NP_014371.1	NP_068735.1	51.6
NP_014371.1	XP_016882760.1	71.6
NP_014371.1	XP_016882760.1	67.8
NP_014371.1	XP_016882760.1	66.2
NP_014371.1	XP_016882760.1	65.1
NP_014371.1	XP_016882760.1	62.8
NP_014371.1	XP_016882760.1	60.8
NP_014371.1	XP_016882760.1	60.8
NP_014371.1	XP_016882760.1	60.1
NP_014371.1	XP_016882760.1	58.9
NP_014371.1	XP_016882760.1	58.5
NP_014371.1	XP_016882760.1	55.8
NP_014371.1	XP_016882760.1	55.1
NP_014371.1	NP_066575.2	71.2
NP_014371.1	NP_066575.2	69.3
NP_014371.1	NP_066575.2	68.2
NP_014371.1	NP_066575.2	63.2
NP_014371.1	NP_066575.2	40.4
NP_014371.1	NP_066575.2	35.4
NP_014371.1	NP_660149.2	70.9
NP_014371.1	NP_660149.2	62.8
NP_014371.1	NP_660149.2	60.8
NP_014371.1	NP_660149.2	57.4
NP_014371.1	NP_660149.2	53.9
NP_014371.1	NP_660149.2	42.0
NP_014371.1	XP_011524861.1	70.9
NP_014371.1	XP_011524861.1	67.8
NP_014371.1	XP_011524861.1	66.2
NP_014371.1	XP_011524861.1	65.9
NP_014371.1	XP_011524861.1	64.3
NP_014371.1	XP_011524861.1	64.3
NP_014371.1	XP_011524861.1	63.9
NP_014371.1	XP_011524861.1	63.2
NP_014371.1	XP_011524861.1	61.6
NP_014371.1	XP_011524861.1	60.1
NP_014371.1	XP_011524861.1	58.5
NP_014371.1	XP_011524861.1	58.2
NP_014371.1	XP_011524861.1	56.2
NP_014371.1	XP_011524861.1	55.5
NP_014371.1	XP_011524861.1	54.3
NP_014371.1	XP_011524861.1	42.0
NP_014371.1	XP_016882167.1	68.6
NP_014371.1	XP_016882167.1	67.0
NP_014371.1	XP_016882167.1	65.9
NP_014371.1	XP_016882167.1	65.1
NP_014371.1	XP_016882167.1	64.3
NP_014371.1	XP_016882167.1	63.2
NP_014371.1	XP_016882167.1	60.8
NP_014371.1	XP_016882167.1	58.2
NP_014371.1	XP_016882167.1	46.2
NP_014371.1	NP_056209.2	68.2
NP_014371.1	NP_056209.2	66.6
NP_014371.1	NP_056209.2	63.5
NP_014371.1	NP_056209.2	60.8
NP_014371.1	NP_056209.2	60.1
NP_014371.1	NP_056209.2	57.0
NP_014371.1	NP_056209.2	46.6
NP_014371.1	NP_056209.2	40.8
NP_014371.1	XP_016870103.1	67.0
NP_014371.1	XP_016870103.1	66.6
NP_014371.1	XP_016870103.1	65.9
NP_014371.1	XP_016870103.1	65.5
NP_014371.1	XP_016870103.1	63.5
NP_014371.1	XP_016870103.1	60.8
NP_014371.1	XP_016870103.1	60.8
NP_014371.1	XP_016870103.1	60.1
NP_014371.1	XP_016870103.1	59.7
NP_014371.1	XP_016870103.1	59.3
NP_014371.1	XP_016870103.1	57.8
NP_014371.1	XP_016870103.1	57.0
NP_014371.1	XP_016870103.1	55.5
NP_014371.1	XP_016870103.1	52.0
NP_014371.1	XP_016870103.1	50.4
NP_014371.1	XP_016870103.1	33.5
NP_014371.1	XP_016870103.1	32.7
NP_014371.1	XP_016882108.1	66.2
NP_014371.1	XP_016882108.1	63.9
NP_014371.1	XP_016882108.1	63.9
NP_014371.1	XP_016882108.1	63.5
NP_014371.1	XP_016882108.1	63.5
NP_014371.1	XP_016882108.1	63.2
NP_014371.1	XP_016882108.1	61.6
NP_014371.1	XP_016882108.1	59.7
NP_014371.1	XP_016882108.1	57.0
NP_014371.1	XP_016882108.1	57.0
NP_014371.1	XP_016882108.1	55.5
NP_014371.1	XP_016882108.1	51.6
NP_014371.1	XP_016882108.1	50.8
NP_014371.1	NP_612383.1	65.9
NP_014371.1	NP_612383.1	65.5
NP_014371.1	NP_612383.1	63.9
NP_014371.1	NP_612383.1	63.2
NP_014371.1	NP_612383.1	62.4
NP_014371.1	NP_612383.1	60.8
NP_014371.1	NP_612383.1	60.1
NP_014371.1	NP_612383.1	60.1
NP_014371.1	NP_612383.1	59.3
NP_014371.1	NP_612383.1	58.5
NP_014371.1	NP_612383.1	57.4
NP_014371.1	NP_612383.1	57.4
NP_014371.1	NP_612383.1	56.6
NP_014371.1	NP_612383.1	55.5
NP_014371.1	NP_612383.1	54.7
NP_014371.1	NP_612383.1	53.1
NP_014371.1	NP_612383.1	50.4
NP_014371.1	NP_612383.1	43.1
NP_014371.1	NP_612383.1	32.3
NP_014371.1	XP_016882933.1	65.1
NP_014371.1	XP_016882933.1	64.7
NP_014371.1	XP_016882933.1	62.4
NP_014371.1	XP_016882933.1	62.0
NP_014371.1	XP_016882933.1	61.6
NP_014371.1	XP_016882933.1	60.8
NP_014371.1	XP_016882933.1	57.4
NP_014371.1	NP_056936.2	64.7
NP_014371.1	NP_056936.2	55.8
NP_014371.1	NP_056936.2	53.1
NP_014371.1	NP_056936.2	50.8
NP_014371.1	NP_056936.2	49.7
NP_014371.1	NP_056936.2	49.7
NP_014371.1	NP_056936.2	49.3
NP_014371.1	NP_056936.2	49.3
NP_014371.1	NP_056936.2	40.0
NP_014371.1	NP_056936.2	37.7
NP_014371.1	NP_056936.2	34.3
NP_014371.1	XP_016864898.1	64.3
NP_014371.1	XP_016864898.1	61.2
NP_014371.1	XP_016864898.1	60.1
NP_014371.1	XP_016864898.1	57.0
NP_014371.1	XP_016864898.1	55.1
NP_014371.1	XP_016864898.1	52.4
NP_014371.1	XP_016867187.1	62.8
NP_014371.1	XP_016867187.1	61.6
NP_014371.1	XP_016867187.1	57.0
NP_014371.1	XP_016867187.1	57.0
NP_014371.1	XP_016867187.1	55.8
NP_014371.1	XP_016867187.1	53.1
NP_014371.1	XP_016867187.1	52.4
NP_014371.1	XP_016867187.1	46.6
NP_014371.1	NP_689838.1	61.6
NP_014371.1	NP_689838.1	59.3
NP_014371.1	NP_689838.1	53.5
NP_014371.1	NP_689838.1	52.4
NP_014371.1	NP_689838.1	50.1
NP_014371.1	NP_689838.1	47.0
NP_014371.1	NP_689838.1	45.1
NP_014371.1	NP_056457.3	59.3
NP_014371.1	NP_056457.3	59.3
NP_014371.1	NP_056457.3	42.0
NP_014371.1	NP_444251.1	49.3
NP_014371.1	NP_444251.1	33.9
NP_013764.1	XP_011526902.1	45.4
NP_013764.1	NP_059830.1	32.7
NP_011342.1	XP_016862118.1	32.3
NP_011342.1	NP_004625.2	32.7
NP_014783.4	XP_016868866.1	70.9
NP_012933.4	NP_038477.2	45.8
NP_012933.4	NP_005095.1	45.1
NP_012933.4	NP_005095.1	43.5
NP_012933.4	NP_005095.1	34.3
NP_012933.4	XP_016857274.1	42.4
NP_012933.4	NP_004625.2	40.0
NP_014394.2	NP_003243.1	47.0
NP_014394.2	NP_006796.1	46.6
NP_014394.2	NP_631961.1	41.2
NP_014394.2	NP_631961.1	31.6
NP_014394.2	NP_055298.2	39.3
NP_014394.2	NP_055298.2	33.9
NP_014394.2	NP_003080.2	37.0
NP_014394.2	NP_057732.2	34.3
NP_013297.1	XP_011526902.1	37.7
NP_009767.1	NP_004332.2	51.6
NP_009767.1	NP_004332.2	51.2
NP_010125.1	XP_011526902.1	38.9
NP_013735.1	NP_003333.1	163.0
NP_013735.1	NP_004350.1	142.0
NP_013735.1	NP_862821.1	92.8
NP_011472.1	XP_016884808.1	40.4
NP_010007.1	NP_065959.1	84.3
NP_010007.1	NP_065959.1	36.6
NP_010007.1	XP_011526902.1	72.8
NP_010007.1	XP_011526902.1	68.6
NP_010007.1	NP_059830.1	62.8
NP_010007.1	NP_059830.1	50.1
NP_010007.1	NP_059830.1	39.7
NP_010007.1	NP_059830.1	37.4
NP_010007.1	NP_059830.1	32.0
NP_010007.1	NP_006400.2	38.1
NP_010007.1	XP_016871952.1	32.0
NP_014149.1	NP_740752.1	33.5
NP_012643.3	NP_004332.2	1128.0
NP_014759.1	NP_000928.1	588.0
NP_014759.1	NP_000928.1	187.0
NP_009723.3	NP_004209.2	41.2
NP_009723.3	NP_006825.1	37.7
NP_015120.1	XP_011525325.1	65.1
NP_015120.1	NP_002367.5	57.4
NP_015120.1	XP_016858148.1	55.8
NP_015120.1	NP_976226.1	45.8
NP_015120.1	NP_006284.2	45.1
NP_015120.1	XP_011536527.1	40.8
NP_015120.1	NP_059995.2	39.7
NP_015120.1	XP_016874525.1	37.7
NP_015120.1	NP_938207.2	33.9
NP_015120.1	NP_004432.1	32.3
NP_015120.1	NP_114406.1	31.6
NP_013811.1	NP_065959.1	39.3
NP_013811.1	XP_011526902.1	33.9
NP_013811.1	XP_016867294.1	32.3
NP_015172.1	NP_002367.5	172.0
NP_015172.1	XP_016858148.1	160.0
NP_015172.1	NP_976226.1	117.0
NP_015172.1	XP_016874525.1	108.0
NP_015172.1	NP_059995.2	108.0
NP_015172.1	NP_115811.2	89.0
NP_015172.1	XP_011536527.1	80.9
NP_015172.1	NP_114406.1	77.8
NP_015172.1	NP_004432.1	73.9
NP_015172.1	XP_005257856.1	70.9
NP_015172.1	NP_001973.2	71.6
NP_015172.1	NP_065434.1	47.8
NP_015172.1	NP_938207.2	42.4
NP_014382.1	NP_003243.1	136.0
NP_014382.1	NP_003243.1	60.1
NP_014382.1	NP_003243.1	47.0
NP_014382.1	NP_055298.2	65.1
NP_014382.1	NP_006796.1	59.7
NP_014382.1	NP_006796.1	45.1
NP_014382.1	NP_006796.1	35.4
NP_014382.1	NP_003080.2	50.8
NP_014382.1	NP_003080.2	46.2
NP_014382.1	NP_001013653.1	33.5
NP_014382.1	NP_631961.1	32.7
NP_013962.1	NP_004216.2	31.2
NP_015340.1	XP_016882933.1	53.1
NP_015340.1	XP_016882933.1	49.7
NP_015340.1	XP_016882933.1	46.2
NP_015340.1	XP_016882933.1	45.1
NP_015340.1	XP_016882933.1	43.1
NP_015340.1	XP_016882933.1	40.8
NP_015340.1	XP_016882933.1	40.0
NP_015340.1	XP_016882933.1	39.7
NP_015340.1	XP_016882933.1	30.4
NP_015340.1	NP_068735.1	52.0
NP_015340.1	NP_068735.1	48.9
NP_015340.1	NP_068735.1	45.4
NP_015340.1	NP_068735.1	44.3
NP_015340.1	NP_068735.1	44.3
NP_015340.1	NP_068735.1	43.1
NP_015340.1	NP_068735.1	41.6
NP_015340.1	NP_068735.1	38.5
NP_015340.1	XP_016882760.1	52.0
NP_015340.1	XP_016882760.1	47.0
NP_015340.1	XP_016882760.1	46.6
NP_015340.1	XP_016882760.1	45.1
NP_015340.1	XP_016882760.1	44.7
NP_015340.1	XP_016882760.1	43.9
NP_015340.1	XP_016882760.1	43.1
NP_015340.1	XP_016882760.1	42.7
NP_015340.1	XP_016882760.1	42.0
NP_015340.1	XP_016882760.1	41.2
NP_015340.1	XP_016882760.1	41.2
NP_015340.1	XP_016882760.1	40.4
NP_015340.1	XP_016882760.1	38.9
NP_015340.1	XP_016882760.1	38.5
NP_015340.1	XP_016882760.1	38.1
NP_015340.1	XP_016867187.1	50.4
NP_015340.1	XP_016867187.1	46.6
NP_015340.1	XP_016867187.1	45.8
NP_015340.1	XP_016867187.1	45.8
NP_015340.1	XP_016867187.1	44.7
NP_015340.1	XP_016867187.1	42.7
NP_015340.1	XP_016867187.1	42.4
NP_015340.1	XP_016867187.1	40.0
NP_015340.1	XP_016867187.1	37.4
NP_015340.1	XP_016867187.1	37.4
NP_015340.1	NP_612383.1	50.4
NP_015340.1	NP_612383.1	49.7
NP_015340.1	NP_612383.1	48.5
NP_015340.1	NP_612383.1	47.4
NP_015340.1	NP_612383.1	47.4
NP_015340.1	NP_612383.1	47.4
NP_015340.1	NP_612383.1	47.0
NP_015340.1	NP_612383.1	46.6
NP_015340.1	NP_612383.1	45.4
NP_015340.1	NP_612383.1	45.1
NP_015340.1	NP_612383.1	43.5
NP_015340.1	NP_612383.1	43.5
NP_015340.1	NP_612383.1	42.0
NP_015340.1	NP_612383.1	41.6
NP_015340.1	NP_612383.1	40.8
NP_015340.1	NP_612383.1	40.4
NP_015340.1	NP_612383.1	40.4
NP_015340.1	NP_612383.1	38.9
NP_015340.1	NP_612383.1	38.9
NP_015340.1	NP_612383.1	38.1
NP_015340.1	NP_612383.1	37.4
NP_015340.1	NP_612383.1	36.6
NP_015340.1	XP_016882167.1	49.3
NP_015340.1	XP_016882167.1	45.1
NP_015340.1	XP_016882167.1	42.7
NP_015340.1	XP_016882167.1	42.0
NP_015340.1	XP_016882167.1	41.6
NP_015340.1	XP_016882167.1	41.6
NP_015340.1	XP_016882167.1	41.2
NP_015340.1	XP_016882167.1	40.8
NP_015340.1	XP_016882167.1	40.4
NP_015340.1	XP_016882167.1	38.1
NP_015340.1	XP_016882167.1	33.9
NP_015340.1	XP_011524861.1	49.3
NP_015340.1	XP_011524861.1	48.5
NP_015340.1	XP_011524861.1	48.1
NP_015340.1	XP_011524861.1	45.8
NP_015340.1	XP_011524861.1	44.7
NP_015340.1	XP_011524861.1	44.3
NP_015340.1	XP_011524861.1	44.3
NP_015340.1	XP_011524861.1	44.3
NP_015340.1	XP_011524861.1	43.5
NP_015340.1	XP_011524861.1	43.5
NP_015340.1	XP_011524861.1	43.1
NP_015340.1	XP_011524861.1	42.4
NP_015340.1	XP_011524861.1	42.4
NP_015340.1	XP_011524861.1	41.6
NP_015340.1	XP_011524861.1	41.2
NP_015340.1	XP_011524861.1	40.8
NP_015340.1	XP_011524861.1	40.0
NP_015340.1	XP_011524861.1	39.7
NP_015340.1	XP_011524861.1	35.4
NP_015340.1	XP_011524861.1	33.9
NP_015340.1	XP_011524861.1	33.1
NP_015340.1	XP_011524861.1	32.3
NP_015340.1	XP_011512871.1	48.5
NP_015340.1	XP_011512871.1	48.5
NP_015340.1	XP_011512871.1	44.3
NP_015340.1	XP_011512871.1	43.5
NP_015340.1	XP_011512871.1	40.0
NP_015340.1	XP_016873757.1	47.8
NP_015340.1	XP_016873757.1	43.1
NP_015340.1	XP_016873757.1	42.0
NP_015340.1	XP_016873757.1	40.8
NP_015340.1	NP_066575.2	47.8
NP_015340.1	NP_066575.2	43.5
NP_015340.1	NP_066575.2	43.1
NP_015340.1	NP_056936.2	47.4
NP_015340.1	NP_056936.2	47.0
NP_015340.1	NP_056936.2	47.0
NP_015340.1	NP_056936.2	46.6
NP_015340.1	NP_056936.2	46.6
NP_015340.1	NP_056936.2	45.1
NP_015340.1	NP_056936.2	40.0
NP_015340.1	NP_056936.2	39.7
NP_015340.1	NP_056936.2	37.7
NP_015340.1	NP_056936.2	37.4
NP_015340.1	NP_056936.2	33.1
NP_015340.1	XP_016864898.1	47.4
NP_015340.1	XP_016864898.1	47.0
NP_015340.1	XP_016864898.1	47.0
NP_015340.1	XP_016864898.1	45.1
NP_015340.1	XP_016864898.1	39.3
NP_015340.1	XP_016864898.1	38.5
NP_015340.1	XP_016864898.1	37.7
NP_015340.1	XP_016864898.1	32.7
NP_015340.1	NP_003442.2	47.0
NP_015340.1	NP_003442.2	46.2
NP_015340.1	NP_003442.2	45.1
NP_015340.1	NP_003442.2	44.7
NP_015340.1	NP_003442.2	43.9
NP_015340.1	NP_003442.2	37.4
NP_015340.1	XP_016870103.1	47.4
NP_015340.1	XP_016870103.1	45.4
NP_015340.1	XP_016870103.1	45.4
NP_015340.1	XP_016870103.1	43.9
NP_015340.1	XP_016870103.1	43.5
NP_015340.1	XP_016870103.1	42.7
NP_015340.1	XP_016870103.1	41.6
NP_015340.1	XP_016870103.1	41.6
NP_015340.1	XP_016870103.1	41.2
NP_015340.1	XP_016870103.1	40.8
NP_015340.1	XP_016870103.1	40.0
NP_015340.1	XP_016870103.1	39.3
NP_015340.1	XP_016870103.1	38.5
NP_015340.1	XP_016870103.1	38.1
NP_015340.1	XP_016870103.1	37.4
NP_015340.1	XP_016870103.1	36.6
NP_015340.1	XP_016870103.1	35.0
NP_015340.1	NP_056209.2	47.0
NP_015340.1	NP_056209.2	44.7
NP_015340.1	NP_056209.2	43.9
NP_015340.1	NP_056209.2	43.9
NP_015340.1	NP_056209.2	43.5
NP_015340.1	NP_056209.2	42.4
NP_015340.1	NP_056209.2	37.0
NP_015340.1	NP_056209.2	32.7
NP_015340.1	NP_056209.2	29.6
NP_015340.1	XP_016882108.1	45.8
NP_015340.1	XP_016882108.1	45.1
NP_015340.1	XP_016882108.1	43.1
NP_015340.1	XP_016882108.1	42.4
NP_015340.1	XP_016882108.1	42.0
NP_015340.1	XP_016882108.1	40.8
NP_015340.1	XP_016882108.1	40.8
NP_015340.1	XP_016882108.1	38.5
NP_015340.1	XP_016882108.1	38.1
NP_015340.1	XP_016882108.1	37.0
NP_015340.1	XP_016882108.1	35.8
NP_015340.1	XP_016882108.1	35.4
NP_015340.1	XP_016882108.1	35.0
NP_015340.1	XP_016882108.1	35.0
NP_015340.1	XP_016882108.1	33.9
NP_015340.1	XP_016882108.1	32.7
NP_015340.1	NP_660149.2	45.4
NP_015340.1	NP_660149.2	42.7
NP_015340.1	NP_660149.2	40.0
NP_015340.1	NP_660149.2	34.3
NP_015340.1	NP_660149.2	32.7
NP_015340.1	NP_660149.2	30.4
NP_015340.1	NP_689838.1	44.7
NP_015340.1	NP_689838.1	42.7
NP_015340.1	NP_689838.1	41.6
NP_015340.1	NP_689838.1	39.7
NP_015340.1	NP_689838.1	35.0
NP_015340.1	NP_689838.1	33.5
NP_015340.1	NP_689838.1	31.2
NP_015340.1	NP_056457.3	40.0
NP_015340.1	NP_444251.1	35.4
NP_015340.1	NP_444251.1	32.0
NP_011318.2	XP_006724879.1	34.7
NP_011519.3	NP_569157.2	32.0
NP_013952.1	XP_016878370.1	29.3
NP_014224.2	NP_003243.1	56.6
NP_014224.2	NP_003243.1	37.4
NP_014224.2	NP_003080.2	55.8
NP_014224.2	NP_006796.1	47.4
NP_014224.2	NP_006796.1	30.4
NP_014224.2	NP_057732.2	45.8
NP_014224.2	NP_055298.2	36.2
NP_009793.1	NP_006400.2	242.0
NP_009793.1	NP_059830.1	30.4
NP_010175.1	NP_002367.5	98.6
NP_010175.1	NP_976226.1	83.2
NP_010175.1	XP_016874525.1	75.9
NP_010175.1	NP_004432.1	73.2
NP_010175.1	NP_001973.2	71.2
NP_010175.1	NP_115811.2	70.1
NP_010175.1	XP_016858148.1	63.2
NP_010175.1	NP_006284.2	60.8
NP_010175.1	NP_059995.2	58.2
NP_010175.1	XP_011536527.1	53.1
NP_010175.1	NP_002949.2	45.1
NP_010175.1	NP_065434.1	45.1
NP_010175.1	NP_114406.1	42.7
NP_010175.1	XP_011522118.1	40.0
NP_010175.1	XP_005257856.1	33.5
NP_013180.1	XP_011516931.1	33.9
NP_010903.3	NP_005947.3	31.2
NP_013396.1	NP_004209.2	103.0
NP_013396.1	NP_006825.1	83.6
NP_013396.1	XP_016863678.1	54.3
NP_013396.1	NP_775798.2	49.7
NP_013396.1	XP_016868740.1	34.7
NP_014729.1	NP_006368.3	43.5
NP_014729.1	NP_006368.3	40.4
NP_014729.1	NP_006368.3	34.7
NP_014729.1	XP_005268273.1	42.7
NP_014286.1	XP_016867862.1	62.4
NP_009352.2	NP_001640.1	45.1
NP_011423.1	NP_624358.2	95.5
NP_011423.1	NP_624358.2	57.4
NP_011423.1	NP_624358.2	53.1
NP_011423.1	NP_624358.2	50.1
NP_011423.1	NP_624358.2	49.3
NP_011423.1	NP_624358.2	35.0
NP_011036.1	NP_077000.1	35.0
NP_011749.3	NP_077000.1	62.4
NP_011749.3	NP_077000.1	42.0
NP_011749.3	NP_077000.1	34.7
NP_011749.3	NP_062618.2	45.4
NP_011749.3	NP_062618.2	44.3
NP_011749.3	NP_062618.2	43.9
NP_011749.3	NP_062618.2	36.2
NP_011749.3	NP_060134.2	45.4
NP_011749.3	NP_060134.2	36.2
NP_011749.3	NP_060134.2	36.2
NP_011749.3	NP_938207.2	46.2
NP_011749.3	NP_115736.1	40.8
NP_011749.3	NP_055730.2	41.2
NP_011749.3	NP_055730.2	34.3
NP_011749.3	NP_055730.2	32.7
NP_011749.3	NP_001131143.1	39.3
NP_011415.1	NP_059830.1	36.6
NP_011415.1	NP_059830.1	31.6
NP_011415.1	XP_016867294.1	31.6
NP_014723.2	NP_116264.2	33.9
NP_013349.1	XP_016858148.1	132.0
NP_013349.1	NP_002367.5	131.0
NP_013349.1	XP_016874525.1	87.8
NP_013349.1	NP_059995.2	78.6
NP_013349.1	NP_976226.1	68.9
NP_013349.1	NP_114406.1	61.2
NP_013349.1	NP_115811.2	52.8
NP_013349.1	NP_004432.1	40.8
NP_013349.1	XP_011536527.1	39.7
NP_013349.1	NP_006284.2	37.0
NP_014025.1	NP_004854.1	139.0
NP_014025.1	NP_954635.1	90.5
NP_011888.1	NP_065935.3	691.0
NP_011888.1	NP_976063.1	304.0
NP_011888.1	NP_976063.1	45.1
NP_011888.1	NP_055730.2	33.5
NP_011888.1	NP_002069.2	33.1
NP_012863.1	NP_006612.2	33.5
NP_015289.1	NP_653300.2	199.0
NP_012348.1	NP_002367.5	72.0
NP_012348.1	XP_016858148.1	67.8
NP_012348.1	NP_976226.1	68.2
NP_012348.1	XP_016874525.1	65.1
NP_012348.1	NP_059995.2	56.6
NP_012348.1	NP_065434.1	50.4
NP_012348.1	NP_004432.1	50.4
NP_012348.1	NP_006284.2	43.9
NP_012348.1	NP_115811.2	43.5
NP_012348.1	XP_005257856.1	39.3
NP_012348.1	NP_001973.2	39.7
NP_012348.1	XP_011525325.1	36.6
NP_012348.1	NP_938207.2	33.5
NP_219497.4	NP_003016.1	57.8
NP_219497.4	XP_016881667.1	46.2
NP_219497.4	NP_115811.2	45.4
NP_219497.4	XP_005270351.1	35.0
NP_219497.4	XP_005270351.1	33.1
NP_015077.1	NP_059830.1	35.8
NP_015077.1	XP_016871952.1	31.6
NP_014177.1	NP_624358.2	29.6
NP_009754.1	XP_016867294.1	33.9
NP_009754.1	XP_016871952.1	32.3
NP_011883.1	NP_004432.1	31.2
NP_011092.1	NP_003243.1	110.0
NP_011092.1	NP_003243.1	91.7
NP_011092.1	NP_003243.1	76.6
NP_011092.1	NP_003243.1	75.9
NP_011092.1	NP_003243.1	52.8
NP_011092.1	NP_055298.2	79.3
NP_011092.1	NP_055298.2	78.2
NP_011092.1	NP_006796.1	54.7
NP_011092.1	NP_006796.1	52.8
NP_011092.1	NP_006796.1	50.4
NP_011092.1	NP_006796.1	42.0
NP_011092.1	NP_006796.1	36.6
NP_011092.1	NP_057732.2	41.6
NP_011092.1	NP_057732.2	33.9
NP_011092.1	NP_003080.2	40.8
NP_011092.1	NP_003080.2	37.0
NP_011092.1	NP_003080.2	32.7
NP_011092.1	XP_005269687.1	37.0
NP_011092.1	NP_085130.2	35.4
NP_011092.1	NP_001013653.1	32.3
NP_011092.1	NP_631961.1	31.2
NP_012897.3	NP_059995.2	33.1
NP_011037.3	NP_000375.2	29.6
NP_011404.1	NP_065959.1	31.2
NP_013232.1	XP_016870103.1	56.2
NP_013232.1	XP_016870103.1	46.2
NP_013232.1	XP_016870103.1	44.7
NP_013232.1	XP_016870103.1	42.7
NP_013232.1	XP_016870103.1	41.2
NP_013232.1	XP_016870103.1	40.8
NP_013232.1	XP_016870103.1	37.7
NP_013232.1	XP_016870103.1	32.0
NP_013232.1	NP_056457.3	54.7
NP_013232.1	XP_016882933.1	54.3
NP_013232.1	XP_016882933.1	53.1
NP_013232.1	XP_016882933.1	47.0
NP_013232.1	XP_016882933.1	43.1
NP_013232.1	XP_016882933.1	42.0
NP_013232.1	NP_066575.2	53.1
NP_013232.1	NP_066575.2	46.2
NP_013232.1	NP_066575.2	45.8
NP_013232.1	NP_066575.2	41.2
NP_013232.1	NP_066575.2	39.3
NP_013232.1	NP_066575.2	37.0
NP_013232.1	NP_068735.1	52.4
NP_013232.1	NP_068735.1	49.7
NP_013232.1	NP_068735.1	46.6
NP_013232.1	NP_068735.1	45.4
NP_013232.1	NP_068735.1	42.0
NP_013232.1	NP_056936.2	52.4
NP_013232.1	NP_056936.2	41.6
NP_013232.1	NP_056936.2	38.9
NP_013232.1	NP_056936.2	37.7
NP_013232.1	NP_056936.2	37.4
NP_013232.1	NP_056936.2	33.1
NP_013232.1	XP_011512871.1	50.8
NP_013232.1	XP_011512871.1	48.5
NP_013232.1	XP_011512871.1	47.8
NP_013232.1	XP_011512871.1	46.2
NP_013232.1	XP_011512871.1	38.1
NP_013232.1	NP_003442.2	50.4
NP_013232.1	NP_003442.2	47.8
NP_013232.1	NP_003442.2	47.0
NP_013232.1	NP_003442.2	33.5
NP_013232.1	NP_444251.1	50.8
NP_013232.1	NP_612383.1	50.4
NP_013232.1	NP_612383.1	48.5
NP_013232.1	NP_612383.1	48.1
NP_013232.1	NP_612383.1	47.0
NP_013232.1	NP_612383.1	44.7
